,action,destIP,srcIP
107,DENY,4.0.0.0-7.255.255.255,0.0.0.0-127.255.255.255
108,DENY,3.0.0.0-3.255.255.255,1.3.9.6
109,DENY,3.8.0.0-3.8.31.255,4.8.0.0-4.9.255.255
110,DENY,6.0.0.0-6.31.255.255,2.4.1.0-2.4.1.15
111,ALLOW,7.2.3.0-7.2.3.7,1.9.0.0-1.9.127.255
112,ALLOW,0.0.0.0-127.255.255.255,10.0.0.0-11.255.255.255
113,ALLOW,4.0.0.0-4.3.255.255,3.0.0.0-3.63.255.255
114,ALLOW,0.0.0.0-31.255.255.255,1.7.5.2-1.7.5.3
115,ALLOW,9.7.9.8,2.0.0.0-2.63.255.255
116,DENY,9.3.6.0-9.3.6.127,8.8.0.0-8.15.255.255
117,DENY,10.6.0.0-10.7.255.255,4.0.0.0-4.127.255.255
118,DENY,2.9.2.10-2.9.2.11,10.6.0.0-10.7.255.255
119,DENY,0.0.0.0-63.255.255.255,5.3.0.0-5.3.7.255
120,ALLOW,7.1.5.8-7.1.5.15,5.8.0.0-5.8.31.255
121,ALLOW,6.8.0.0-6.11.255.255,5.6.0.0-5.6.63.255
122,DENY,4.10.3.0-4.10.3.255,7.6.0.0-7.7.255.255
123,ALLOW,10.10.4.8-10.10.4.11,7.9.0.0-7.9.127.255
124,DENY,10.9.0.0-10.9.7.255,10.3.0.0-10.3.63.255
125,ALLOW,5.2.9.0-5.2.9.1,8.3.5.0-8.3.5.3
126,ALLOW,1.0.0.0-1.127.255.255,3.5.3.8-3.5.3.11
127,DENY,2.2.1.0-2.2.1.255,4.3.0.0-4.3.31.255
128,DENY,3.6.7.0-3.6.7.63,10.9.4.2
129,ALLOW,3.0.0.0-3.127.255.255,8.9.7.2
130,DENY,10.4.1.0-10.4.1.15,2.8.0.0-2.11.255.255
131,DENY,10.0.0.0-10.255.255.255,4.0.0.0-7.255.255.255
132,DENY,5.7.0.0-5.7.63.255,9.4.10.3
133,ALLOW,7.0.0.0-7.3.255.255,3.4.4.0-3.4.7.255
134,DENY,9.6.0.0-9.7.255.255,3.9.6.0-3.9.7.255
135,ALLOW,9.5.0.0-9.5.127.255,8.10.0.0-8.10.15.255
136,ALLOW,2.8.10.6,2.10.10.0-2.10.10.31
137,ALLOW,6.2.0.0-6.2.7.255,9.0.0.0-9.63.255.255
138,DENY,9.8.0.0-9.11.255.255,5.0.0.0-5.15.255.255
139,ALLOW,7.4.0.0-7.5.255.255,9.3.9.9
140,DENY,10.10.1.0-10.10.1.255,0.0.0.0-255.255.255.255
141,DENY,2.0.0.0-3.255.255.255,9.3.0.0-9.3.255.255
142,DENY,6.9.3.7,5.0.0.0-5.255.255.255
143,ALLOW,4.1.8.0-4.1.11.255,8.2.0.0-8.2.127.255
144,DENY,6.0.0.0-6.63.255.255,2.10.0.0-2.10.31.255
145,ALLOW,10.3.1.0-10.3.1.15,8.10.0.0-8.10.1.255
146,DENY,9.4.0.0-9.7.255.255,1.2.0.0-1.3.255.255
147,DENY,8.0.0.0-8.31.255.255,9.5.3.4-9.5.3.7
148,ALLOW,2.0.0.0-2.255.255.255,7.8.0.0-7.8.31.255
149,DENY,7.1.0.0-7.1.7.255,5.6.0.0-5.6.3.255
150,ALLOW,8.2.8.0-8.2.8.15,3.6.8.0-3.6.8.127
151,DENY,2.2.0.0-2.2.7.255,8.0.0.0-11.255.255.255
152,ALLOW,4.10.10.0-4.10.10.255,4.0.0.0-4.3.255.255
153,ALLOW,6.5.8.0-6.5.11.255,3.7.3.0-3.7.3.3
154,ALLOW,8.8.0.0-8.15.255.255,2.6.0.0-2.7.255.255
155,DENY,8.6.8.4-8.6.8.7,3.3.0.0-3.3.7.255
156,DENY,1.2.0.0-1.2.63.255,9.4.0.0-9.4.7.255
157,DENY,6.0.0.0-6.15.255.255,6.6.3.0-6.6.3.7
158,ALLOW,0.0.0.0-127.255.255.255,8.0.0.0-15.255.255.255
159,DENY,0.0.0.0-31.255.255.255,2.1.8.0-2.1.15.255
160,ALLOW,8.0.0.0-11.255.255.255,7.0.0.0-7.255.255.255
161,ALLOW,0.0.0.0-7.255.255.255,0.0.0.0-255.255.255.255
162,DENY,5.0.0.0-5.63.255.255,10.0.0.0-10.3.255.255
163,ALLOW,2.0.0.0-2.127.255.255,6.0.0.0-6.127.255.255
164,ALLOW,7.0.0.0-7.7.255.255,8.0.0.0-15.255.255.255
165,DENY,1.2.0.0-1.2.31.255,0.0.0.0-7.255.255.255
166,DENY,1.6.5.0-1.6.5.7,2.2.0.0-2.2.63.255
167,DENY,0.0.0.0-7.255.255.255,0.0.0.0-15.255.255.255
168,ALLOW,1.8.8.0-1.8.9.255,8.0.0.0-8.127.255.255
169,ALLOW,7.3.7.0-7.3.7.15,10.0.0.0-10.127.255.255
170,DENY,9.6.3.8-9.6.3.11,10.6.2.0-10.6.2.1
171,DENY,1.4.0.0-1.4.15.255,6.3.0.0-6.3.127.255
172,DENY,3.8.0.0-3.15.255.255,7.4.6.0-7.4.7.255
173,DENY,9.0.0.0-9.3.255.255,3.3.8.0-3.3.8.15
174,ALLOW,6.9.0.0-6.9.15.255,0.0.0.0-15.255.255.255
175,ALLOW,0.0.0.0-7.255.255.255,5.0.0.0-5.15.255.255
176,ALLOW,0.0.0.0-3.255.255.255,6.9.8.0-6.9.15.255
177,DENY,7.0.0.0-7.15.255.255,5.6.0.0-5.6.31.255
178,DENY,8.5.2.0-8.5.2.15,9.10.0.0-9.10.15.255
179,DENY,9.1.7.4,6.0.0.0-7.255.255.255
180,DENY,9.6.0.0-9.6.7.255,0.0.0.0-3.255.255.255
181,ALLOW,5.6.0.0-5.6.7.255,8.1.9.0-8.1.9.3
182,DENY,2.2.1.0-2.2.1.255,0.0.0.0-127.255.255.255
183,DENY,0.0.0.0-31.255.255.255,0.0.0.0-127.255.255.255
184,DENY,0.0.0.0-7.255.255.255,9.2.10.4-9.2.10.7
185,ALLOW,8.0.0.0-8.15.255.255,4.0.0.0-4.255.255.255
186,DENY,2.1.3.0-2.1.3.15,8.0.0.0-9.255.255.255
187,DENY,1.0.0.0-1.127.255.255,6.8.10.4-6.8.10.5
188,ALLOW,2.1.4.0-2.1.4.127,10.10.0.0-10.10.15.255
189,DENY,6.4.1.0-6.4.1.255,0.0.0.0-127.255.255.255
190,ALLOW,0.0.0.0-15.255.255.255,6.3.0.0-6.3.255.255
191,DENY,3.0.0.0-3.63.255.255,8.9.8.0-8.9.11.255
192,DENY,3.2.2.0-3.2.2.255,6.7.0.0-6.7.3.255
193,DENY,8.9.8.0-8.9.8.63,0.0.0.0-1.255.255.255
194,ALLOW,2.9.1.0-2.9.1.7,0.0.0.0-3.255.255.255
195,ALLOW,5.10.2.4-5.10.2.7,8.2.0.0-8.2.31.255
196,DENY,8.0.0.0-8.255.255.255,8.2.8.0-8.2.15.255
197,DENY,6.5.0.0-6.5.15.255,9.7.0.0-9.7.255.255
198,ALLOW,5.0.0.0-5.255.255.255,2.2.1.8-2.2.1.11
199,DENY,0.0.0.0-127.255.255.255,4.0.0.0-4.63.255.255
200,ALLOW,1.1.0.0-1.1.255.255,6.4.0.0-6.4.15.255
201,ALLOW,8.3.0.0-8.3.255.255,8.10.2.0-8.10.2.255
202,DENY,1.2.0.0-1.2.63.255,6.5.0.0-6.5.31.255
203,ALLOW,9.0.0.0-9.255.255.255,0.0.0.0-3.255.255.255
204,ALLOW,9.2.4.0-9.2.4.3,3.6.0.0-3.7.255.255
205,ALLOW,4.0.0.0-4.15.255.255,4.3.0.0-4.3.31.255
206,DENY,6.0.0.0-6.7.255.255,8.0.0.0-8.127.255.255
207,ALLOW,0.0.0.0-15.255.255.255,0.0.0.0-63.255.255.255
208,DENY,0.0.0.0-31.255.255.255,5.3.0.0-5.3.7.255
209,DENY,8.4.0.0-8.5.255.255,3.6.4.2-3.6.4.3
210,DENY,4.9.10.0-4.9.10.127,7.5.8.0-7.5.8.15
211,ALLOW,2.10.0.0-2.10.63.255,0.0.0.0-127.255.255.255
212,DENY,6.0.0.0-6.127.255.255,7.10.0.0-7.10.7.255
213,DENY,8.0.0.0-8.15.255.255,3.10.7.4-3.10.7.5
214,DENY,1.4.0.0-1.4.31.255,5.0.0.0-5.127.255.255
215,ALLOW,1.2.0.0-1.2.15.255,0.0.0.0-63.255.255.255
216,DENY,0.0.0.0-31.255.255.255,9.0.0.0-9.15.255.255
217,DENY,6.5.1.8,5.0.0.0-5.15.255.255
218,DENY,4.8.0.0-4.8.127.255,6.6.4.0-6.6.4.15
219,ALLOW,5.0.0.0-5.15.255.255,0.0.0.0-1.255.255.255
220,ALLOW,6.3.8.8-6.3.8.9,3.0.0.0-3.7.255.255
221,ALLOW,10.0.0.0-10.255.255.255,6.0.0.0-6.15.255.255
222,DENY,2.1.0.0-2.1.127.255,7.0.0.0-7.15.255.255
223,DENY,4.2.0.0-4.2.15.255,2.2.9.0-2.2.9.3
224,ALLOW,8.1.0.0-8.1.127.255,7.8.0.0-7.9.255.255
225,ALLOW,10.0.0.0-10.31.255.255,1.0.0.0-1.127.255.255
226,DENY,8.0.0.0-11.255.255.255,5.3.0.0-5.3.7.255
227,DENY,6.0.0.0-7.255.255.255,10.10.8.0-10.10.15.255
228,DENY,2.7.9.0-2.7.9.255,9.5.7.0-9.5.7.31
229,ALLOW,2.9.0.0-2.9.63.255,0.0.0.0-31.255.255.255
230,ALLOW,0.0.0.0-7.255.255.255,10.7.0.0-10.7.15.255
231,DENY,2.0.0.0-2.127.255.255,8.1.0.0-8.1.127.255
232,DENY,0.0.0.0-15.255.255.255,5.4.0.0-5.4.255.255
233,DENY,6.0.0.0-6.127.255.255,8.10.3.0-8.10.3.31
234,DENY,0.0.0.0-31.255.255.255,3.7.2.0-3.7.2.127
235,DENY,0.0.0.0-127.255.255.255,9.0.0.0-9.31.255.255
236,DENY,10.9.0.0-10.9.63.255,1.7.0.0-1.7.7.255
237,DENY,3.8.8.0-3.8.15.255,4.10.0.0-4.10.63.255
238,DENY,2.4.0.0-2.4.31.255,9.10.8.0-9.10.11.255
239,ALLOW,7.1.0.0-7.1.63.255,5.0.0.0-5.3.255.255
240,ALLOW,8.0.0.0-8.255.255.255,6.10.0.0-6.10.255.255
241,DENY,2.6.8.0-2.6.11.255,9.2.8.0-9.2.11.255
242,ALLOW,1.8.0.0-1.15.255.255,6.1.0.0-6.1.31.255
243,DENY,0.0.0.0-31.255.255.255,0.0.0.0-15.255.255.255
244,ALLOW,8.0.0.0-11.255.255.255,6.0.0.0-6.255.255.255
245,DENY,0.0.0.0-31.255.255.255,5.0.0.0-5.127.255.255
246,DENY,3.4.5.0-3.4.5.127,7.0.0.0-7.31.255.255
247,DENY,8.3.0.0-8.3.127.255,10.3.0.0-10.3.255.255
248,ALLOW,9.1.8.0-9.1.11.255,1.7.8.0-1.7.8.7
249,DENY,0.0.0.0-31.255.255.255,6.7.7.0-6.7.7.63
250,DENY,3.5.4.9,8.2.7.4-8.2.7.7
251,DENY,8.2.3.0-8.2.3.127,10.3.8.0-10.3.8.127
252,ALLOW,1.2.2.0-1.2.2.127,6.4.4.0-6.4.5.255
253,ALLOW,8.1.5.0-8.1.5.15,0.0.0.0-7.255.255.255
254,DENY,7.3.4.0-7.3.4.31,8.0.0.0-8.31.255.255
255,ALLOW,9.6.10.0-9.6.10.127,9.1.1.8-9.1.1.11
256,DENY,2.0.0.0-2.3.255.255,7.5.5.0-7.5.5.7
257,ALLOW,5.7.7.0-5.7.7.255,0.0.0.0-3.255.255.255
258,DENY,3.3.0.0-3.3.31.255,2.8.0.0-2.8.255.255
259,DENY,7.1.0.0-7.1.127.255,4.6.6.0-4.6.6.255
260,ALLOW,9.2.3.0-9.2.3.63,1.0.0.0-1.31.255.255
261,ALLOW,6.0.0.0-6.255.255.255,8.2.0.0-8.2.15.255
262,ALLOW,6.4.0.0-6.7.255.255,3.9.0.0-3.9.127.255
263,ALLOW,3.4.10.8-3.4.10.11,10.0.0.0-10.31.255.255
264,DENY,6.7.7.0-6.7.7.15,8.8.0.0-8.8.15.255
265,ALLOW,4.0.0.0-4.255.255.255,5.0.0.0-5.7.255.255
266,ALLOW,7.0.0.0-7.15.255.255,7.3.4.0-7.3.4.255
267,ALLOW,0.0.0.0-63.255.255.255,8.8.2.9
268,DENY,8.0.0.0-9.255.255.255,2.4.5.0-2.4.5.255
269,ALLOW,6.7.0.0-6.7.7.255,6.8.0.0-6.11.255.255
270,DENY,4.2.0.0-4.3.255.255,1.10.8.0-1.10.8.63
271,ALLOW,9.5.0.0-9.5.7.255,2.1.0.0-2.1.7.255
272,ALLOW,0.0.0.0-7.255.255.255,2.1.0.0-2.1.15.255
273,ALLOW,3.0.0.0-3.7.255.255,10.10.0.0-10.10.15.255
274,DENY,9.10.9.0-9.10.9.255,7.0.0.0-7.63.255.255
275,ALLOW,8.0.0.0-8.15.255.255,1.7.0.0-1.7.7.255
276,DENY,9.7.1.0-9.7.1.31,9.9.3.10-9.9.3.11
277,DENY,5.10.7.0-5.10.7.63,7.10.10.0-7.10.10.3
278,DENY,6.0.0.0-6.15.255.255,10.0.0.0-10.127.255.255
279,DENY,4.2.0.0-4.3.255.255,0.0.0.0-255.255.255.255
280,DENY,4.5.0.0-4.5.31.255,7.0.0.0-7.255.255.255
281,DENY,0.0.0.0-31.255.255.255,0.0.0.0-7.255.255.255
282,DENY,10.8.7.0-10.8.7.31,7.0.0.0-7.255.255.255
283,DENY,6.2.7.0-6.2.7.7,9.5.8.0-9.5.8.127
284,ALLOW,5.0.0.0-5.255.255.255,8.5.0.0-8.5.31.255
285,ALLOW,0.0.0.0-127.255.255.255,7.0.0.0-7.7.255.255
286,ALLOW,0.0.0.0-255.255.255.255,3.1.6.0-3.1.7.255
287,ALLOW,2.0.0.0-2.7.255.255,5.1.2.0-5.1.2.15
288,ALLOW,4.0.0.0-4.255.255.255,4.0.0.0-4.31.255.255
289,DENY,1.7.0.0-1.7.255.255,8.0.0.0-8.127.255.255
290,ALLOW,6.0.0.0-6.255.255.255,6.5.7.0-6.5.7.63
291,ALLOW,0.0.0.0-3.255.255.255,10.0.0.0-11.255.255.255
292,ALLOW,6.10.0.0-6.10.3.255,3.8.3.0-3.8.3.31
293,DENY,1.0.0.0-1.31.255.255,1.4.8.0-1.4.15.255
294,DENY,4.0.0.0-5.255.255.255,5.0.0.0-5.127.255.255
295,ALLOW,2.4.3.7,8.8.6.0-8.8.6.127
296,ALLOW,6.8.2.5,2.9.0.0-2.9.31.255
297,DENY,8.0.0.0-11.255.255.255,6.5.6.0-6.5.6.31
298,DENY,4.7.7.0-4.7.7.63,4.0.0.0-4.31.255.255
299,DENY,6.2.7.8-6.2.7.15,7.8.1.0-7.8.1.127
300,ALLOW,0.0.0.0-127.255.255.255,7.8.0.0-7.15.255.255
301,ALLOW,10.0.0.0-10.255.255.255,5.6.2.0-5.6.2.127
302,ALLOW,7.5.7.0-7.5.7.63,6.0.0.0-6.63.255.255
303,DENY,6.9.4.0-6.9.4.15,1.2.8.0-1.2.15.255
304,DENY,0.0.0.0-31.255.255.255,0.0.0.0-63.255.255.255
305,DENY,2.0.0.0-2.127.255.255,0.0.0.0-31.255.255.255
306,ALLOW,7.0.0.0-7.7.255.255,4.4.0.0-4.4.15.255
307,ALLOW,9.9.0.0-9.9.7.255,5.5.9.0-5.5.9.31
308,DENY,10.0.0.0-10.127.255.255,4.9.6.10-4.9.6.11
309,DENY,7.0.0.0-7.63.255.255,3.8.0.0-3.15.255.255
310,DENY,6.10.1.0-6.10.1.255,8.8.0.0-8.8.15.255
311,DENY,6.2.0.0-6.2.3.255,1.8.0.0-1.11.255.255
312,ALLOW,9.5.3.4-9.5.3.7,3.6.7.6-3.6.7.7
313,ALLOW,0.0.0.0-3.255.255.255,4.5.3.0-4.5.3.63
314,DENY,6.8.10.2,4.10.4.0-4.10.4.7
315,ALLOW,5.8.5.0-5.8.5.15,6.0.0.0-7.255.255.255
316,ALLOW,3.1.4.0-3.1.5.255,3.8.0.0-3.15.255.255
317,DENY,4.0.0.0-7.255.255.255,0.0.0.0-63.255.255.255
318,ALLOW,6.0.0.0-7.255.255.255,2.9.8.6
319,ALLOW,8.7.8.7,0.0.0.0-31.255.255.255
320,ALLOW,2.7.0.0-2.7.127.255,4.2.2.0-4.2.2.255
321,ALLOW,1.7.5.0-1.7.5.15,1.10.0.0-1.10.255.255
322,DENY,8.0.0.0-8.7.255.255,9.0.0.0-9.63.255.255
323,ALLOW,5.6.0.0-5.7.255.255,7.4.8.0-7.4.11.255
324,DENY,10.4.4.0-10.4.7.255,4.8.9.10-4.8.9.11
325,ALLOW,5.8.4.0-5.8.7.255,8.2.0.0-8.2.7.255
326,DENY,0.0.0.0-63.255.255.255,10.7.0.0-10.7.15.255
327,DENY,10.7.5.8-10.7.5.11,0.0.0.0-31.255.255.255
328,ALLOW,7.5.4.0-7.5.4.255,0.0.0.0-63.255.255.255
329,DENY,1.4.0.0-1.5.255.255,4.9.10.0-4.9.10.7
330,DENY,8.9.0.0-8.9.127.255,5.4.6.0-5.4.7.255
331,DENY,0.0.0.0-31.255.255.255,8.2.0.0-8.3.255.255
332,DENY,7.8.0.0-7.8.15.255,8.0.0.0-11.255.255.255
333,DENY,6.0.0.0-6.255.255.255,0.0.0.0-127.255.255.255
334,ALLOW,0.0.0.0-63.255.255.255,1.0.0.0-1.15.255.255
335,ALLOW,5.8.4.0-5.8.5.255,7.6.3.8-7.6.3.9
336,ALLOW,1.2.6.0-1.2.6.127,4.5.0.0-4.5.31.255
337,DENY,9.9.9.0-9.9.9.63,0.0.0.0-63.255.255.255
338,DENY,5.9.0.0-5.9.1.255,3.4.4.0-3.4.7.255
339,ALLOW,7.4.0.0-7.7.255.255,3.5.0.0-3.5.31.255
340,ALLOW,8.0.0.0-8.127.255.255,4.1.4.0-4.1.5.255
341,ALLOW,6.5.4.0-6.5.7.255,0.0.0.0-63.255.255.255
342,ALLOW,4.8.1.0-4.8.1.127,1.6.8.0-1.6.8.127
343,DENY,1.8.4.0-1.8.5.255,1.10.10.0-1.10.10.127
344,DENY,5.0.0.0-5.63.255.255,1.0.0.0-1.255.255.255
345,DENY,4.1.3.0-4.1.3.63,0.0.0.0-31.255.255.255
346,ALLOW,5.10.0.0-5.10.127.255,0.0.0.0-31.255.255.255
347,DENY,0.0.0.0-15.255.255.255,8.0.0.0-8.63.255.255
348,DENY,8.0.0.0-11.255.255.255,5.4.2.0-5.4.2.31
349,ALLOW,8.0.0.0-15.255.255.255,9.8.9.0-9.8.9.255
350,DENY,3.10.0.0-3.10.7.255,0.0.0.0-63.255.255.255
351,DENY,0.0.0.0-15.255.255.255,5.0.0.0-5.127.255.255
352,ALLOW,8.1.0.0-8.1.7.255,5.2.4.0-5.2.7.255
353,DENY,6.4.8.4,10.2.0.0-10.3.255.255
354,ALLOW,1.1.9.8,4.0.0.0-7.255.255.255
355,ALLOW,0.0.0.0-127.255.255.255,2.0.0.0-2.1.255.255
356,DENY,2.0.0.0-2.63.255.255,8.2.4.0-8.2.7.255
357,ALLOW,7.2.3.6-7.2.3.7,6.9.3.0-6.9.3.255
358,DENY,4.1.4.0-4.1.4.63,1.2.0.0-1.2.255.255
359,DENY,5.8.0.0-5.8.63.255,3.0.0.0-3.127.255.255
360,ALLOW,8.6.0.0-8.6.31.255,7.0.0.0-7.255.255.255
361,DENY,9.1.4.0-9.1.4.31,10.8.6.0-10.8.6.31
362,DENY,8.0.0.0-11.255.255.255,4.9.0.0-4.9.127.255
363,ALLOW,0.0.0.0-7.255.255.255,2.6.1.4-2.6.1.5
