,sourceIP,destIP,action
129,10.9.4.2,3.6.7.0/26,DENY
130,8.9.7.2,3.0.0.0/9,ALLOW
131,2.8.0.0/14,10.4.1.0/28,DENY
132,4.0.0.0/6,10.0.0.0/8,DENY
133,9.4.10.3,5.7.0.0/18,DENY
134,3.4.4.0/22,7.0.0.0/14,ALLOW
135,3.9.6.0/23,9.6.0.0/15,DENY
136,8.10.0.0/20,9.5.0.0/17,ALLOW
137,2.10.10.0/27,2.8.10.6,ALLOW
138,9.0.0.0/10,6.2.0.0/21,ALLOW
139,5.0.0.0/12,9.8.0.0/14,DENY
140,9.3.9.9,7.4.0.0/15,ALLOW
142,9.3.0.0/16,2.0.0.0/7,DENY
143,5.0.0.0/8,6.9.3.7,DENY
144,8.2.0.0/17,4.1.8.0/22,ALLOW
145,2.10.0.0/19,6.0.0.0/10,DENY
146,8.10.0.0/23,10.3.1.0/28,ALLOW
147,1.2.0.0/15,9.4.0.0/14,DENY
148,9.5.3.4/30,8.0.0.0/11,DENY
149,7.8.0.0/19,2.0.0.0/8,ALLOW
150,5.6.0.0/22,7.1.0.0/21,DENY
151,3.6.8.0/25,8.2.8.0/28,ALLOW
152,8.0.0.0/6,2.2.0.0/21,DENY
153,4.0.0.0/14,4.10.10.0/24,ALLOW
154,3.7.3.0/30,6.5.8.0/22,ALLOW
155,2.6.0.0/15,8.8.0.0/13,ALLOW
156,3.3.0.0/21,8.6.8.4/30,DENY
157,9.4.0.0/21,1.2.0.0/18,DENY
158,6.6.3.0/29,6.0.0.0/12,DENY
159,8.0.0.0/5,0.0.0.0/1,ALLOW
160,2.1.8.0/21,0.0.0.0/3,DENY
161,7.0.0.0/8,8.0.0.0/6,ALLOW
163,10.0.0.0/14,5.0.0.0/10,DENY
164,6.0.0.0/9,2.0.0.0/9,ALLOW
165,8.0.0.0/5,7.0.0.0/13,ALLOW
166,0.0.0.0/5,1.2.0.0/19,DENY
167,2.2.0.0/18,1.6.5.0/29,DENY
168,0.0.0.0/4,0.0.0.0/5,DENY
169,8.0.0.0/9,1.8.8.0/23,ALLOW
170,10.0.0.0/9,7.3.7.0/28,ALLOW
171,10.6.2.0/31,9.6.3.8/30,DENY
172,6.3.0.0/17,1.4.0.0/20,DENY
173,7.4.6.0/23,3.8.0.0/13,DENY
174,3.3.8.0/28,9.0.0.0/14,DENY
175,0.0.0.0/4,6.9.0.0/20,ALLOW
176,5.0.0.0/12,0.0.0.0/5,ALLOW
177,6.9.8.0/21,0.0.0.0/6,ALLOW
178,5.6.0.0/19,7.0.0.0/12,DENY
179,9.10.0.0/20,8.5.2.0/28,DENY
180,6.0.0.0/7,9.1.7.4,DENY
181,0.0.0.0/6,9.6.0.0/21,DENY
182,8.1.9.0/30,5.6.0.0/21,ALLOW
183,0.0.0.0/1,2.2.1.0/24,DENY
185,9.2.10.4/30,0.0.0.0/5,DENY
186,4.0.0.0/8,8.0.0.0/12,ALLOW
187,8.0.0.0/7,2.1.3.0/28,DENY
188,6.8.10.4/31,1.0.0.0/9,DENY
189,10.10.0.0/20,2.1.4.0/25,ALLOW
190,0.0.0.0/1,6.4.1.0/24,DENY
191,6.3.0.0/16,0.0.0.0/4,ALLOW
192,8.9.8.0/22,3.0.0.0/10,DENY
193,6.7.0.0/22,3.2.2.0/24,DENY
194,0.0.0.0/7,8.9.8.0/26,DENY
195,0.0.0.0/6,2.9.1.0/29,ALLOW
196,8.2.0.0/19,5.10.2.4/30,ALLOW
197,8.2.8.0/21,8.0.0.0/8,DENY
198,9.7.0.0/16,6.5.0.0/20,DENY
199,2.2.1.8/30,5.0.0.0/8,ALLOW
200,4.0.0.0/10,0.0.0.0/1,DENY
201,6.4.0.0/20,1.1.0.0/16,ALLOW
202,8.10.2.0/24,8.3.0.0/16,ALLOW
203,6.5.0.0/19,1.2.0.0/18,DENY
204,0.0.0.0/6,9.0.0.0/8,ALLOW
205,3.6.0.0/15,9.2.4.0/30,ALLOW
206,4.3.0.0/19,4.0.0.0/12,ALLOW
207,8.0.0.0/9,6.0.0.0/13,DENY
208,0.0.0.0/2,0.0.0.0/4,ALLOW
209,5.3.0.0/21,0.0.0.0/3,DENY
210,3.6.4.2/31,8.4.0.0/15,DENY
211,7.5.8.0/28,4.9.10.0/25,DENY
212,0.0.0.0/1,2.10.0.0/18,ALLOW
213,7.10.0.0/21,6.0.0.0/9,DENY
214,3.10.7.4/31,8.0.0.0/12,DENY
215,5.0.0.0/9,1.4.0.0/19,DENY
216,0.0.0.0/2,1.2.0.0/20,ALLOW
217,9.0.0.0/12,0.0.0.0/3,DENY
218,5.0.0.0/12,6.5.1.8,DENY
219,6.6.4.0/28,4.8.0.0/17,DENY
220,0.0.0.0/7,5.0.0.0/12,ALLOW
221,3.0.0.0/13,6.3.8.8/31,ALLOW
222,6.0.0.0/12,10.0.0.0/8,ALLOW
223,7.0.0.0/12,2.1.0.0/17,DENY
224,2.2.9.0/30,4.2.0.0/20,DENY
225,7.8.0.0/15,8.1.0.0/17,ALLOW
226,1.0.0.0/9,10.0.0.0/11,ALLOW
227,5.3.0.0/21,8.0.0.0/6,DENY
228,10.10.8.0/21,6.0.0.0/7,DENY
229,9.5.7.0/27,2.7.9.0/24,DENY
230,0.0.0.0/3,2.9.0.0/18,ALLOW
231,10.7.0.0/20,0.0.0.0/5,ALLOW
232,8.1.0.0/17,2.0.0.0/9,DENY
233,5.4.0.0/16,0.0.0.0/4,DENY
234,8.10.3.0/27,6.0.0.0/9,DENY
235,3.7.2.0/25,0.0.0.0/3,DENY
236,9.0.0.0/11,0.0.0.0/1,DENY
237,1.7.0.0/21,10.9.0.0/18,DENY
238,4.10.0.0/18,3.8.8.0/21,DENY
239,9.10.8.0/22,2.4.0.0/19,DENY
240,5.0.0.0/14,7.1.0.0/18,ALLOW
241,6.10.0.0/16,8.0.0.0/8,ALLOW
242,9.2.8.0/22,2.6.8.0/22,DENY
243,6.1.0.0/19,1.8.0.0/13,ALLOW
244,0.0.0.0/4,0.0.0.0/3,DENY
245,6.0.0.0/8,8.0.0.0/6,ALLOW
246,5.0.0.0/9,0.0.0.0/3,DENY
247,7.0.0.0/11,3.4.5.0/25,DENY
248,10.3.0.0/16,8.3.0.0/17,DENY
249,1.7.8.0/29,9.1.8.0/22,ALLOW
250,6.7.7.0/26,0.0.0.0/3,DENY
251,8.2.7.4/30,3.5.4.9,DENY
252,10.3.8.0/25,8.2.3.0/25,DENY
253,6.4.4.0/23,1.2.2.0/25,ALLOW
254,0.0.0.0/5,8.1.5.0/28,ALLOW
255,8.0.0.0/11,7.3.4.0/27,DENY
256,9.1.1.8/30,9.6.10.0/25,ALLOW
257,7.5.5.0/29,2.0.0.0/14,DENY
258,0.0.0.0/6,5.7.7.0/24,ALLOW
259,2.8.0.0/16,3.3.0.0/19,DENY
260,4.6.6.0/24,7.1.0.0/17,DENY
261,1.0.0.0/11,9.2.3.0/26,ALLOW
262,8.2.0.0/20,6.0.0.0/8,ALLOW
263,3.9.0.0/17,6.4.0.0/14,ALLOW
264,10.0.0.0/11,3.4.10.8/30,ALLOW
265,8.8.0.0/20,6.7.7.0/28,DENY
266,5.0.0.0/13,4.0.0.0/8,ALLOW
267,7.3.4.0/24,7.0.0.0/12,ALLOW
268,8.8.2.9,0.0.0.0/2,ALLOW
269,2.4.5.0/24,8.0.0.0/7,DENY
270,6.8.0.0/14,6.7.0.0/21,ALLOW
271,1.10.8.0/26,4.2.0.0/15,DENY
272,2.1.0.0/21,9.5.0.0/21,ALLOW
273,2.1.0.0/20,0.0.0.0/5,ALLOW
274,10.10.0.0/20,3.0.0.0/13,ALLOW
275,7.0.0.0/10,9.10.9.0/24,DENY
276,1.7.0.0/21,8.0.0.0/12,ALLOW
277,9.9.3.10/31,9.7.1.0/27,DENY
278,7.10.10.0/30,5.10.7.0/26,DENY
279,10.0.0.0/9,6.0.0.0/12,DENY
280,0.0.0.0/0,4.2.0.0/15,DENY
281,7.0.0.0/8,4.5.0.0/19,DENY
282,0.0.0.0/5,0.0.0.0/3,DENY
283,7.0.0.0/8,10.8.7.0/27,DENY
284,9.5.8.0/25,6.2.7.0/29,DENY
285,8.5.0.0/19,5.0.0.0/8,ALLOW
286,7.0.0.0/13,0.0.0.0/1,ALLOW
287,3.1.6.0/23,0.0.0.0/0,ALLOW
288,5.1.2.0/28,2.0.0.0/13,ALLOW
289,4.0.0.0/11,4.0.0.0/8,ALLOW
290,8.0.0.0/9,1.7.0.0/16,DENY
291,6.5.7.0/26,6.0.0.0/8,ALLOW
292,10.0.0.0/7,0.0.0.0/6,ALLOW
293,3.8.3.0/27,6.10.0.0/22,ALLOW
294,1.4.8.0/21,1.0.0.0/11,DENY
295,5.0.0.0/9,4.0.0.0/7,DENY
296,8.8.6.0/25,2.4.3.7,ALLOW
297,2.9.0.0/19,6.8.2.5,ALLOW
298,6.5.6.0/27,8.0.0.0/6,DENY
299,4.0.0.0/11,4.7.7.0/26,DENY
300,7.8.1.0/25,6.2.7.8/29,DENY
301,7.8.0.0/13,0.0.0.0/1,ALLOW
302,5.6.2.0/25,10.0.0.0/8,ALLOW
303,6.0.0.0/10,7.5.7.0/26,ALLOW
304,1.2.8.0/21,6.9.4.0/28,DENY
305,0.0.0.0/2,0.0.0.0/3,DENY
306,0.0.0.0/3,2.0.0.0/9,DENY
307,4.4.0.0/20,7.0.0.0/13,ALLOW
308,5.5.9.0/27,9.9.0.0/21,ALLOW
309,4.9.6.10/31,10.0.0.0/9,DENY
310,3.8.0.0/13,7.0.0.0/10,DENY
311,8.8.0.0/20,6.10.1.0/24,DENY
312,1.8.0.0/14,6.2.0.0/22,DENY
313,3.6.7.6/31,9.5.3.4/30,ALLOW
314,4.5.3.0/26,0.0.0.0/6,ALLOW
315,4.10.4.0/29,6.8.10.2,DENY
316,6.0.0.0/7,5.8.5.0/28,ALLOW
317,3.8.0.0/13,3.1.4.0/23,ALLOW
318,0.0.0.0/2,4.0.0.0/6,DENY
319,2.9.8.6,6.0.0.0/7,ALLOW
320,0.0.0.0/3,8.7.8.7,ALLOW
321,4.2.2.0/24,2.7.0.0/17,ALLOW
322,1.10.0.0/16,1.7.5.0/28,ALLOW
323,9.0.0.0/10,8.0.0.0/13,DENY
324,7.4.8.0/22,5.6.0.0/15,ALLOW
325,4.8.9.10/31,10.4.4.0/22,DENY
326,8.2.0.0/21,5.8.4.0/22,ALLOW
327,10.7.0.0/20,0.0.0.0/2,DENY
328,0.0.0.0/3,10.7.5.8/30,DENY
329,0.0.0.0/2,7.5.4.0/24,ALLOW
330,4.9.10.0/29,1.4.0.0/15,DENY
331,5.4.6.0/23,8.9.0.0/17,DENY
332,8.2.0.0/15,0.0.0.0/3,DENY
333,8.0.0.0/6,7.8.0.0/20,DENY
334,0.0.0.0/1,6.0.0.0/8,DENY
335,1.0.0.0/12,0.0.0.0/2,ALLOW
336,7.6.3.8/31,5.8.4.0/23,ALLOW
337,4.5.0.0/19,1.2.6.0/25,ALLOW
338,0.0.0.0/2,9.9.9.0/26,DENY
339,3.4.4.0/22,5.9.0.0/23,DENY
340,3.5.0.0/19,7.4.0.0/14,ALLOW
341,4.1.4.0/23,8.0.0.0/9,ALLOW
342,0.0.0.0/2,6.5.4.0/22,ALLOW
343,1.6.8.0/25,4.8.1.0/25,ALLOW
344,1.10.10.0/25,1.8.4.0/23,DENY
345,1.0.0.0/8,5.0.0.0/10,DENY
346,0.0.0.0/3,4.1.3.0/26,DENY
347,0.0.0.0/3,5.10.0.0/17,ALLOW
348,8.0.0.0/10,0.0.0.0/4,DENY
349,5.4.2.0/27,8.0.0.0/6,DENY
350,9.8.9.0/24,8.0.0.0/5,ALLOW
351,0.0.0.0/2,3.10.0.0/21,DENY
352,5.0.0.0/9,0.0.0.0/4,DENY
353,5.2.4.0/22,8.1.0.0/21,ALLOW
354,10.2.0.0/15,6.4.8.4,DENY
355,4.0.0.0/6,1.1.9.8,ALLOW
356,2.0.0.0/15,0.0.0.0/1,ALLOW
357,8.2.4.0/22,2.0.0.0/10,DENY
358,6.9.3.0/24,7.2.3.6/31,ALLOW
359,1.2.0.0/16,4.1.4.0/26,DENY
360,3.0.0.0/9,5.8.0.0/18,DENY
361,7.0.0.0/8,8.6.0.0/19,ALLOW
362,10.8.6.0/27,9.1.4.0/27,DENY
363,4.9.0.0/17,8.0.0.0/6,DENY
364,2.6.1.4/31,0.0.0.0/5,ALLOW
365,0.0.0.0/5,1.8.0.0/14,DENY
366,7.3.10.2/31,8.10.6.0/23,DENY
367,3.0.0.0/10,2.3.7.9,DENY
368,8.0.0.0/6,7.6.4.2,ALLOW
369,3.3.8.0/27,5.3.10.0/28,ALLOW
370,4.0.0.0/7,8.8.8.0/23,ALLOW
371,5.5.2.0/27,4.3.0.0/20,ALLOW
372,10.3.2.0/30,5.0.0.0/10,ALLOW
373,2.0.0.0/7,2.5.6.0/30,DENY
374,8.9.0.0/17,5.0.0.0/9,ALLOW
375,5.1.3.4/30,0.0.0.0/0,DENY
376,7.3.0.0/17,4.10.6.0/23,DENY
377,4.10.0.0/15,1.0.0.0/11,DENY
378,8.4.0.0/15,8.6.0.0/19,ALLOW
379,8.0.0.0/6,4.0.0.0/11,DENY
380,5.0.0.0/9,10.6.0.0/15,ALLOW
381,4.10.4.0/27,3.0.0.0/9,ALLOW
382,6.5.0.0/21,0.0.0.0/1,DENY
383,10.0.0.0/10,6.2.0.0/16,DENY
384,5.2.8.0/27,6.2.2.0/23,ALLOW
385,8.0.0.0/6,2.5.0.0/20,ALLOW
386,0.0.0.0/3,3.6.0.0/18,DENY
387,0.0.0.0/6,8.8.0.0/19,DENY
388,5.2.0.0/20,6.8.0.0/13,DENY
389,1.4.0.0/21,0.0.0.0/3,DENY
390,5.7.0.0/16,0.0.0.0/4,DENY
391,8.7.0.0/21,2.0.0.0/9,DENY
392,5.0.0.0/12,3.0.0.0/11,ALLOW
393,2.0.0.0/12,8.5.0.0/19,DENY
394,0.0.0.0/2,9.6.9.0/28,ALLOW
395,4.7.0.0/17,3.8.7.6,ALLOW
396,0.0.0.0/5,0.0.0.0/3,DENY
397,0.0.0.0/4,5.4.6.1,DENY
398,5.4.3.0/25,3.2.8.0/25,DENY
399,0.0.0.0/3,8.5.8.6/31,DENY
400,5.0.0.0/11,8.0.0.0/7,ALLOW
401,0.0.0.0/4,8.1.8.8/30,ALLOW
402,6.10.3.8/29,3.0.0.0/11,DENY
403,2.5.0.0/17,3.5.0.0/19,DENY
404,1.3.0.0/20,4.10.0.0/15,DENY
405,1.4.8.8/30,0.0.0.0/4,ALLOW
406,0.0.0.0/7,6.3.9.8/29,DENY
407,6.0.0.0/13,10.2.0.0/16,ALLOW
408,5.0.0.0/8,1.4.0.0/18,ALLOW
409,4.7.10.6/31,0.0.0.0/2,DENY
410,9.6.8.0/21,10.3.2.0/29,DENY
411,0.0.0.0/0,2.0.0.0/9,ALLOW
412,9.8.7.0/24,5.10.6.0/23,DENY
413,10.4.0.0/18,4.0.0.0/13,ALLOW
414,1.9.0.0/19,3.8.0.0/14,ALLOW
415,1.10.5.0/26,0.0.0.0/1,DENY
416,0.0.0.0/6,5.0.0.0/13,DENY
417,4.7.0.0/19,1.3.4.0/22,ALLOW
418,7.10.0.0/22,9.5.0.0/21,DENY
419,3.9.4.10/31,8.0.0.0/7,ALLOW
420,5.7.0.0/17,7.6.0.0/19,DENY
421,1.0.0.0/11,7.8.0.0/14,ALLOW
422,0.0.0.0/4,4.0.0.0/11,DENY
423,4.4.6.0/23,6.4.6.0/28,DENY
424,3.3.8.0/23,3.1.0.0/18,DENY
425,10.2.0.0/18,7.8.8.0/22,DENY
426,0.0.0.0/1,10.0.0.0/13,DENY
427,1.2.10.0/23,5.8.0.0/13,ALLOW
428,4.3.0.0/16,4.8.0.0/19,DENY
429,0.0.0.0/3,0.0.0.0/4,ALLOW
430,9.4.1.0/28,10.8.8.0/23,DENY
431,8.5.10.0/30,1.2.9.0/26,DENY
432,8.7.9.8/30,4.0.0.0/10,DENY
433,8.5.0.0/19,9.5.4.0/23,DENY
434,6.0.0.0/8,7.10.9.0/26,DENY
435,0.0.0.0/4,4.1.8.7,ALLOW
436,5.0.0.0/9,1.8.7.4/31,ALLOW
437,7.4.0.0/16,7.0.0.0/11,ALLOW
438,5.0.0.0/11,4.2.0.0/20,ALLOW
439,0.0.0.0/3,8.0.0.0/10,ALLOW
440,7.1.10.0/25,1.4.8.0/21,ALLOW
441,0.0.0.0/1,8.0.0.0/11,DENY
442,4.0.0.0/10,6.1.0.0/16,DENY
443,7.1.0.0/19,0.0.0.0/1,DENY
444,3.3.10.0/27,3.7.1.0/24,ALLOW
445,6.6.0.0/15,10.6.0.0/17,ALLOW
446,4.9.6.0/25,8.6.0.0/15,ALLOW
447,0.0.0.0/1,2.10.4.0/22,ALLOW
448,3.7.8.0/26,4.2.2.9,ALLOW
449,6.9.10.0/25,1.8.6.0/29,DENY
450,3.1.1.1,6.5.0.0/21,ALLOW
451,0.0.0.0/5,9.10.6.0/23,DENY
452,10.3.4.0/23,10.7.9.1,ALLOW
453,0.0.0.0/3,1.9.9.0/25,DENY
454,8.1.9.7,5.9.10.0/24,ALLOW
455,8.4.0.0/15,7.0.0.0/10,ALLOW
456,4.0.0.0/6,5.0.0.0/9,ALLOW
457,7.1.2.4/31,7.8.0.0/20,ALLOW
458,10.1.0.0/16,10.2.4.0/26,DENY
459,4.2.0.0/15,8.2.4.0/23,DENY
460,8.10.0.0/21,0.0.0.0/5,DENY
461,8.0.0.0/5,10.4.0.0/18,DENY
462,5.7.8.8/30,3.1.0.0/21,DENY
463,3.7.5.0/24,7.0.0.0/12,DENY
464,7.10.5.0/25,1.8.0.0/14,DENY
465,10.9.0.0/21,9.10.6.0/23,DENY
466,0.0.0.0/2,2.9.3.4/30,DENY
467,3.7.8.0/22,2.0.0.0/8,DENY
468,10.3.0.0/21,1.0.0.0/13,ALLOW
469,1.6.0.0/22,2.0.0.0/13,DENY
470,5.10.0.0/18,8.9.2.2/31,ALLOW
471,0.0.0.0/6,5.0.0.0/12,DENY
472,7.0.0.0/8,0.0.0.0/6,ALLOW
473,0.0.0.0/3,9.5.4.8/31,DENY
474,3.7.5.0/25,0.0.0.0/4,DENY
475,7.0.0.0/14,4.0.0.0/7,DENY
476,1.2.0.0/17,0.0.0.0/3,DENY
477,6.8.0.0/13,6.1.0.0/19,DENY
478,8.2.0.0/15,0.0.0.0/3,ALLOW
479,6.8.0.0/16,0.0.0.0/5,DENY
480,5.2.7.8/31,9.0.0.0/12,ALLOW
481,0.0.0.0/1,9.7.0.0/19,ALLOW
482,0.0.0.0/1,6.10.0.0/20,ALLOW
483,9.4.4.0/27,8.0.0.0/7,DENY
484,6.4.0.0/17,3.8.8.0/24,ALLOW
485,3.3.0.0/16,0.0.0.0/5,ALLOW
486,2.0.0.0/12,5.7.0.0/19,DENY
487,10.10.9.0/28,6.0.0.0/9,ALLOW
488,0.0.0.0/3,8.0.0.0/7,DENY
489,0.0.0.0/1,2.6.0.0/16,DENY
490,3.8.3.0/25,2.1.5.0/24,ALLOW
491,2.0.0.0/10,0.0.0.0/3,ALLOW
492,2.6.0.0/21,9.5.0.0/19,DENY
493,3.3.0.0/20,3.3.2.0/26,DENY
494,0.0.0.0/3,4.7.0.0/18,DENY
495,9.7.5.0/27,8.6.0.0/16,DENY
496,2.1.0.0/17,7.8.0.0/13,DENY
497,5.10.10.0/26,6.3.4.0/25,ALLOW
498,0.0.0.0/5,10.1.6.0/24,DENY
499,8.3.8.4/30,5.7.4.0/22,DENY
500,9.10.0.0/19,9.8.9.8,ALLOW
501,4.0.0.0/7,6.1.8.0/21,DENY
502,0.0.0.0/5,6.8.0.0/13,DENY
503,10.0.0.0/13,4.0.0.0/10,ALLOW
504,0.0.0.0/5,3.9.0.0/17,ALLOW
505,7.0.0.0/14,2.0.0.0/10,DENY
506,6.10.6.0/26,4.0.0.0/10,ALLOW
507,4.9.0.0/18,2.8.5.8/30,ALLOW
508,8.8.2.0/27,4.0.0.0/6,ALLOW
509,3.2.0.0/15,7.6.0.0/15,ALLOW
510,5.0.0.0/10,2.9.4.0/22,ALLOW
511,3.3.3.0/27,3.0.0.0/10,ALLOW
512,10.0.0.0/8,4.0.0.0/7,DENY
513,4.6.9.8/30,6.2.3.1,DENY
514,10.4.9.6/31,2.7.0.0/19,DENY
515,0.0.0.0/2,0.0.0.0/4,ALLOW
516,4.7.0.0/16,9.5.3.9,ALLOW
517,2.7.3.0/30,0.0.0.0/6,DENY
518,6.0.0.0/8,9.4.0.0/16,DENY
519,10.4.3.8/30,6.7.2.0/28,ALLOW
520,0.0.0.0/4,2.6.10.0/24,DENY
521,3.3.9.7,0.0.0.0/2,ALLOW
522,7.1.8.6,7.2.0.0/15,DENY
523,8.5.10.0/29,10.0.0.0/7,ALLOW
524,10.3.10.0/25,9.2.0.0/15,DENY
525,7.3.0.0/19,8.9.8.0/21,ALLOW
526,2.10.0.0/19,0.0.0.0/1,DENY
527,7.10.2.6/31,9.0.0.0/8,ALLOW
528,4.2.0.0/21,4.0.0.0/7,DENY
529,8.0.0.0/13,1.0.0.0/13,ALLOW
530,2.10.1.0/28,9.0.0.0/11,ALLOW
531,1.4.0.0/14,5.7.7.0/27,DENY
532,9.6.5.0/28,0.0.0.0/4,DENY
533,2.5.0.0/21,1.8.0.0/20,ALLOW
534,3.7.6.4/30,4.8.8.0/21,DENY
535,10.0.0.0/10,6.8.0.0/13,DENY
536,1.2.4.0/22,4.0.0.0/7,ALLOW
537,6.5.8.8/30,10.0.0.0/10,ALLOW
538,2.0.0.0/8,2.7.10.0/26,ALLOW
539,0.0.0.0/6,0.0.0.0/2,DENY
540,0.0.0.0/6,6.4.0.0/15,DENY
541,3.1.10.0/25,9.9.0.0/17,ALLOW
542,7.4.4.0/28,5.0.0.0/11,ALLOW
543,9.0.0.0/8,8.9.6.0/31,DENY
544,0.0.0.0/6,0.0.0.0/5,ALLOW
545,0.0.0.0/2,4.0.0.0/8,DENY
547,4.6.7.0/27,8.0.0.0/6,ALLOW
548,3.5.1.4/31,5.10.1.0/29,DENY
549,4.10.4.0/23,3.4.0.0/14,ALLOW
550,3.7.0.0/20,0.0.0.0/1,ALLOW
551,4.0.0.0/6,4.3.7.4/31,ALLOW
552,0.0.0.0/3,9.3.9.0/27,ALLOW
553,0.0.0.0/4,5.10.0.0/18,DENY
554,5.10.0.0/21,6.0.0.0/12,ALLOW
555,7.4.0.0/21,1.10.0.0/20,DENY
556,0.0.0.0/1,2.4.4.0/25,ALLOW
557,0.0.0.0/3,9.0.0.0/9,ALLOW
558,6.0.0.0/12,4.0.0.0/10,DENY
559,1.0.0.0/8,0.0.0.0/3,ALLOW
560,4.4.10.0/29,3.7.0.0/18,DENY
561,2.6.6.0/25,0.0.0.0/0,DENY
562,9.0.0.0/12,1.0.0.0/10,ALLOW
563,5.6.0.0/15,1.10.0.0/23,ALLOW
564,8.0.0.0/11,10.0.0.0/11,ALLOW
565,5.2.8.0/22,7.9.0.0/16,ALLOW
566,5.2.0.0/18,2.2.10.4/30,DENY
567,4.0.0.0/10,8.2.0.0/16,ALLOW
568,1.1.3.0/25,5.0.0.0/12,ALLOW
569,2.0.0.0/8,10.0.0.0/11,DENY
570,7.0.0.0/12,0.0.0.0/6,ALLOW
571,2.0.0.0/8,9.6.0.0/17,DENY
572,4.2.4.0/23,8.0.0.0/9,ALLOW
573,10.3.4.2/31,0.0.0.0/2,DENY
574,2.9.6.2/31,2.0.0.0/10,DENY
575,4.0.0.0/12,4.9.2.0/26,DENY
576,10.4.0.0/22,7.10.10.0/29,DENY
577,2.2.0.0/15,3.6.0.0/20,ALLOW
578,0.0.0.0/6,0.0.0.0/5,DENY
579,0.0.0.0/1,5.5.4.0/22,DENY
580,7.3.4.6/31,7.9.2.0/24,ALLOW
581,1.0.0.0/8,9.2.0.0/15,ALLOW
582,8.9.0.0/20,0.0.0.0/4,DENY
